Film,Year,Domestic gross ($m),Worldwide Gross ($m),Rotten Tomatoes  critics,Rotten Tomatoes Audience ,Budget ($m),budget recovered,times budget recovered,force label,critics vs audience divergence, Primary Genre,Genres,IMDB Rating,exclude label,RT vs IMDB disparity,,,,,,,,,,,,,,,,,,,,Distributor,ID
Poor Things,2023,10.3,12.1,93,82,35.0,35%,0.3,,-11,,,8.5,,-3,,,,,,,,,,,,,,,,,,,,,
Silent Night,2023,7.9,9.8,58,51,20.0,49%,0.5,,-7,,,5.3,,-2,,,,,,,,,,,,,,,,,,,,,
Beau Is Afraid,2023,7.5,10.6,67,71,35.0,30%,0.3,,4,,"Comedy, Drama, Horror",6.8,,3,,,,,,,,,,,,,,,,,,,,A24,50
Infinity Pool,2023,5.0,5.4,86,52,4.5,120%,1.2,,-34,,"Crime, Horror, Mystery",6.1,,-9,,,,,,,,,,,,,,,,,,,,Neon,53
You Hurt My Feelings,2023,4.8,5.3,94,64,25.0,21%,0.2,,-30,,"Comedy, Drama",6.7,YES,-3,,,,,,,,,,,,,,,,,,,,A24,54
Kandahar,2023,4.8,7.6,46,82,70.0,11%,0.1,,36,,"Action, Thriller ",6.0,YES,22,,,,,,,,,,,,,,,,,,,,Open Road Films (II),55
It Lives Inside,2023,4.6,5.3,61,48,10.0,53%,0.5,,-13,,,5.3,,-5,,,,,,,,,,,,,,,,,,,,,
Hypnotic,2023,4.5,9.4,34,62,65.0,14%,0.1,,28,,"Action , Mystery, Thriller",5.5,YES,7,,,,,,,,,,,,,,,,,,,,Ketchup Entertainment,56
Mummies,2023,4.3,53.2,53,88,12.0,443%,4.4,,35,,"Animation, Comedy, Famuly",5.9,,29,,,,,,,,,,,,,,,,,,,,Warner Bros.,57
Mafia Mamma,2023,3.5,7.0,21,67,41.0,17%,0.2,,46,,"Action, Comedy, Crime",5.4,YES,13,,,,,,,,,,,,,,,,,,,,Bleecker Street Media,58
Theater Camp,2023,3.4,3.4,84,81,8.0,43%,0.4,,-3,,Comedy,7.5,,6,,,,,,,,,,,,,,,,,,,,Searchlight Pictures,59
Wonka,2023,147.0,400.0,84,91,125.0,320%,3.2,,7,,,7.3,,18,,,,,,,,,,,,,,,,,,,,,
